creacion,candidato,compound,retweet_count,numSemana,compoundRT
10/03/21,Clara Luz Flores,-0.0572,13,11,-0.7436
10/03/21,Clara Luz Flores,-0.4023,156,11,-62.7588
10/03/21,Clara Luz Flores,-0.7715,0,11,0
10/03/21,Clara Luz Flores,-0.8442,0,11,0
10/03/21,Clara Luz Flores,0.0258,658,11,16.9764
10/03/21,Clara Luz Flores,0.1531,97,11,14.8507
10/03/21,Clara Luz Flores,0.7845,46,11,36.087
10/03/21,Clara Luz Flores,0.128,380,11,48.64
10/03/21,Clara Luz Flores,0.2617,161,11,42.1337
10/03/21,Clara Luz Flores,0.0258,658,11,16.9764
10/03/21,Clara Luz Flores,0.7506,15,11,11.259
10/03/21,Clara Luz Flores,0.7845,46,11,36.087
10/03/21,Clara Luz Flores,0.4404,1,11,0.4404
10/03/21,Clara Luz Flores,-0.3612,80,11,-28.896
10/03/21,Clara Luz Flores,0.2732,2,11,0.5464
10/03/21,Clara Luz Flores,-0.0258,0,11,0
10/03/21,Clara Luz Flores,-0.4588,5,11,-2.294
10/03/21,Clara Luz Flores,0.5574,511,11,284.8314
10/03/21,Clara Luz Flores,0.3818,37,11,14.1266
10/03/21,Clara Luz Flores,-0.34,432,11,-146.88
10/03/21,Clara Luz Flores,-0.4939,81,11,-40.0059
10/03/21,Clara Luz Flores,0.5574,511,11,284.8314
10/03/21,Clara Luz Flores,0.5574,511,11,284.8314
10/03/21,Clara Luz Flores,-0.0026,836,11,-2.1736
10/03/21,Clara Luz Flores,-0.2982,15,11,-4.473
10/03/21,Clara Luz Flores,-0.836,0,11,0
10/03/21,Clara Luz Flores,-0.34,432,11,-146.88
10/03/21,Clara Luz Flores,-0.6802,0,11,0
10/03/21,Clara Luz Flores,0.4019,0,11,0
10/03/21,Clara Luz Flores,-0.8126,0,11,0
10/03/21,Clara Luz Flores,0.2617,161,11,42.1337
10/03/21,Clara Luz Flores,-0.0026,836,11,-2.1736
10/03/21,Clara Luz Flores,0.4854,0,11,0
10/03/21,Clara Luz Flores,0.3612,0,11,0
10/03/21,Clara Luz Flores,0.0258,658,11,16.9764
10/03/21,Clara Luz Flores,0,36,11,0
10/03/21,Clara Luz Flores,0.0258,658,11,16.9764
10/03/21,Clara Luz Flores,-0.2523,91,11,-22.9593
10/03/21,Clara Luz Flores,-0.34,432,11,-146.88
10/03/21,Clara Luz Flores,0.5574,511,11,284.8314
10/03/21,Clara Luz Flores,0.3182,0,11,0
10/03/21,Clara Luz Flores,-0.0026,836,11,-2.1736
10/03/21,Clara Luz Flores,-0.5267,173,11,-91.1191
10/03/21,Clara Luz Flores,-0.4391,539,11,-236.6749
10/03/21,Clara Luz Flores,0.4172,540,11,225.288
10/03/21,Clara Luz Flores,0.3182,0,11,0
10/03/21,Clara Luz Flores,-0.0516,2154,11,-111.1464
10/03/21,Clara Luz Flores,-0.3408,0,11,0
10/03/21,Clara Luz Flores,-0.6249,105,11,-65.6145
10/03/21,Clara Luz Flores,0.4172,540,11,225.288
10/03/21,Clara Luz Flores,0.4172,540,11,225.288
10/03/21,Clara Luz Flores,-0.0026,836,11,-2.1736
10/03/21,Clara Luz Flores,-0.2924,865,11,-252.926
10/03/21,Clara Luz Flores,-0.296,1,11,-0.296
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,0.8068,8,11,6.4544
10/03/21,Clara Luz Flores,0.6597,133,11,87.7401
10/03/21,Clara Luz Flores,0.296,16,11,4.736
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,-0.34,432,11,-146.88
10/03/21,Clara Luz Flores,0.0516,347,11,17.9052
10/03/21,Clara Luz Flores,0.128,380,11,48.64
10/03/21,Clara Luz Flores,0.8805,95,11,83.6475
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,-0.0516,2154,11,-111.1464
10/03/21,Clara Luz Flores,0.6597,133,11,87.7401
10/03/21,Clara Luz Flores,-0.4939,81,11,-40.0059
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,0.0516,347,11,17.9052
10/03/21,Clara Luz Flores,0.6369,0,11,0
10/03/21,Clara Luz Flores,0.6369,0,11,0
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,-0.34,432,11,-146.88
10/03/21,Clara Luz Flores,0.3506,0,11,0
10/03/21,Clara Luz Flores,0.0258,658,11,16.9764
10/03/21,Clara Luz Flores,-0.0026,836,11,-2.1736
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,0.7506,0,11,0
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,0.8442,3,11,2.5326
10/03/21,Clara Luz Flores,-0.8271,201,11,-166.2471
10/03/21,Clara Luz Flores,-0.34,432,11,-146.88
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
