creacion,retweet_count,numSemana,compoundRT
03/03/21,1,10,-0.3182
03/03/21,1226,10,625.9956
03/03/21,1226,10,625.9956
03/03/21,0,10,0
03/03/21,0,10,0
03/03/21,0,10,0
03/03/21,43,10,0
03/03/21,0,10,0
03/03/21,0,10,0
03/03/21,13,10,5.2247
03/03/21,0,10,0
03/03/21,9,10,2.664
03/03/21,0,10,0
03/03/21,1,10,0.8686
03/03/21,2,10,1.0212
03/03/21,1,10,-0.3182
04/03/21,5,10,0
04/03/21,5,10,0
04/03/21,20,10,17.316
04/03/21,5,10,0
04/03/21,0,10,0
04/03/21,27,10,4.1337
04/03/21,27,10,4.1337
04/03/21,14,10,12.6308
04/03/21,21,10,19.7253
04/03/21,18,10,11.6748
04/03/21,21,10,19.7253
04/03/21,0,10,0
04/03/21,0,10,0
04/03/21,2,10,1.2498
04/03/21,0,10,0
04/03/21,5,10,0
04/03/21,5,10,0
04/03/21,62,10,-16.9384
04/03/21,62,10,-16.9384
04/03/21,5,10,0
04/03/21,30,10,21.807
04/03/21,0,10,0
04/03/21,0,10,0
04/03/21,41,10,27.019
04/03/21,2,10,0
04/03/21,0,10,0
04/03/21,41,10,27.019
04/03/21,6,10,0
04/03/21,30,10,21.807
04/03/21,41,10,27.019
04/03/21,0,10,0
04/03/21,0,10,0
04/03/21,949,10,-514.6427
04/03/21,10,10,0
04/03/21,949,10,-301.9718
04/03/21,0,10,0
04/03/21,949,10,-301.9718
04/03/21,6,10,0
04/03/21,0,10,0
04/03/21,0,10,0
04/03/21,580,10,305.486
04/03/21,949,10,-301.9718
04/03/21,580,10,305.486
04/03/21,103,10,-45.3612
04/03/21,949,10,-301.9718
04/03/21,103,10,-45.3612
04/03/21,949,10,-301.9718
04/03/21,949,10,-301.9718
04/03/21,949,10,-301.9718
04/03/21,949,10,-301.9718
04/03/21,949,10,-301.9718
04/03/21,0,10,0
04/03/21,949,10,-301.9718
04/03/21,580,10,305.486
04/03/21,68,10,53.4072
04/03/21,949,10,-301.9718
04/03/21,0,10,0
04/03/21,25,10,-14.6475
04/03/21,224,10,145.2864
04/03/21,103,10,-45.3612
04/03/21,144,10,-63.4176
04/03/21,144,10,-63.4176
04/03/21,144,10,-63.4176
04/03/21,159,10,-89.1354
04/03/21,144,10,-63.4176
04/03/21,949,10,-301.9718
04/03/21,949,10,-301.9718
04/03/21,159,10,-89.1354
04/03/21,1,10,0.4215
04/03/21,1,10,0.4215
04/03/21,159,10,-89.1354
04/03/21,580,10,305.486
04/03/21,0,10,0
04/03/21,0,10,0
04/03/21,144,10,-63.4176
04/03/21,216,10,0
04/03/21,0,10,0
04/03/21,224,10,-66.304
04/03/21,14,10,-12.0274
04/03/21,21,10,-6.6822
04/03/21,5,10,-2.4695
04/03/21,216,10,0
04/03/21,949,10,-301.9718
04/03/21,580,10,305.486
04/03/21,580,10,305.486
04/03/21,7,10,5.8569
04/03/21,49,10,39.4303
04/03/21,949,10,-301.9718
04/03/21,1,10,0.4404
04/03/21,949,10,-301.9718
04/03/21,949,10,-301.9718
04/03/21,106,10,-4.7806
04/03/21,949,10,-301.9718
04/03/21,0,10,0
04/03/21,949,10,-301.9718
04/03/21,364,10,0
04/03/21,949,10,-301.9718
04/03/21,580,10,305.486
04/03/21,32,10,5.296
04/03/21,224,10,145.2864
04/03/21,144,10,-63.4176
04/03/21,84,10,0
04/03/21,312,10,0
04/03/21,0,10,0
04/03/21,949,10,-301.9718
04/03/21,580,10,305.486
04/03/21,216,10,0
04/03/21,107,10,64.1358
04/03/21,3263,10,0
04/03/21,1226,10,625.9956
04/03/21,1226,10,625.9956
04/03/21,1226,10,625.9956
04/03/21,1226,10,625.9956
04/03/21,0,10,0
04/03/21,1226,10,625.9956
04/03/21,1226,10,625.9956
04/03/21,1226,10,625.9956
04/03/21,1226,10,625.9956
04/03/21,54,10,42.0282
04/03/21,1226,10,625.9956
04/03/21,0,10,0
04/03/21,186,10,0
04/03/21,1226,10,625.9956
04/03/21,3,10,-1.3212
04/03/21,0,10,0
04/03/21,54,10,13.5
04/03/21,54,10,13.5
04/03/21,9,10,3.2508
04/03/21,54,10,13.5
04/03/21,186,10,0
04/03/21,16,10,1.8224
04/03/21,0,10,0
04/03/21,0,10,0
04/03/21,186,10,0
04/03/21,0,10,0
04/03/21,38,10,-16.017
04/03/21,1226,10,625.9956
04/03/21,1226,10,625.9956
04/03/21,186,10,0
04/03/21,68,10,-40.7592
04/03/21,0,10,0
04/03/21,0,10,0
04/03/21,21,10,0
04/03/21,0,10,0
04/03/21,0,10,0
04/03/21,23,10,-10.9641
04/03/21,2,10,0
04/03/21,0,10,0
04/03/21,1,10,0.743
04/03/21,3,10,0
04/03/21,7,10,0
04/03/21,0,10,0
04/03/21,0,10,0
04/03/21,0,10,0
04/03/21,16,10,-6.4304
05/03/21,2,10,1.0534
05/03/21,2,10,-0.68
05/03/21,21,10,19.7253
05/03/21,6,10,0
05/03/21,0,10,0
05/03/21,6,10,0
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,47,10,0
05/03/21,2,10,0
05/03/21,1,10,0
05/03/21,31,10,13.1254
05/03/21,8,10,4.3384
05/03/21,136,10,-123.76
05/03/21,0,10,0
05/03/21,31,10,13.1254
05/03/21,0,10,0
05/03/21,2,10,-0.0516
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,2,10,0.0868
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,31,10,2.3932
05/03/21,0,10,0
05/03/21,1,10,0.8129
05/03/21,150,10,0
05/03/21,44,10,-4.5188
05/03/21,0,10,0
05/03/21,1,10,0.3624
05/03/21,0,10,0
05/03/21,1,10,0.6597
05/03/21,44,10,-4.5188
05/03/21,0,10,0
05/03/21,44,10,-4.5188
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,44,10,-4.5188
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,3,10,1.1517
05/03/21,0,10,0
05/03/21,12,10,10.1304
05/03/21,0,10,0
05/03/21,81,10,-21.9996
05/03/21,81,10,-59.5026
05/03/21,19,10,2.1641
05/03/21,4,10,1.7616
05/03/21,0,10,0
05/03/21,1,10,0.5719
05/03/21,1,10,0.7003
05/03/21,0,10,0
05/03/21,81,10,-59.5026
05/03/21,0,10,0
05/03/21,81,10,-59.5026
05/03/21,23,10,-20.056
05/03/21,17,10,5.4094
05/03/21,6,10,2.7528
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,20,10,2.596
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,81,10,-59.5026
05/03/21,81,10,-59.5026
05/03/21,5,10,0
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,4,10,1.4448
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,150,10,0
05/03/21,0,10,0
05/03/21,38,10,10.3208
05/03/21,0,10,0
05/03/21,19,10,15.238
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,2,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,31,10,25.7796
05/03/21,26,10,-9.6616
05/03/21,364,10,0
05/03/21,949,10,-301.9718
05/03/21,312,10,0
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,2,10,0.8808
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,27,10,-22.4046
05/03/21,3263,10,0
05/03/21,312,10,0
05/03/21,3263,10,0
05/03/21,0,10,0
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,312,10,0
05/03/21,0,10,0
05/03/21,949,10,-301.9718
05/03/21,3263,10,0
05/03/21,107,10,64.1358
05/03/21,107,10,64.1358
05/03/21,4,10,1.5272
05/03/21,0,10,0
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,216,10,0
05/03/21,0,10,0
05/03/21,93,10,43.9704
05/03/21,6,10,1.6188
05/03/21,949,10,-301.9718
05/03/21,3263,10,0
05/03/21,949,10,-301.9718
05/03/21,224,10,145.2864
05/03/21,3263,10,0
05/03/21,32,10,5.296
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,949,10,-301.9718
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,181,10,67.2596
05/03/21,3263,10,0
05/03/21,6,10,0
05/03/21,202,10,0
05/03/21,3263,10,0
05/03/21,0,10,0
05/03/21,3263,10,0
05/03/21,68,10,53.4072
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,312,10,0
05/03/21,0,10,0
05/03/21,3263,10,0
05/03/21,2,10,0.1544
05/03/21,0,10,0
05/03/21,3263,10,0
05/03/21,949,10,-301.9718
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,312,10,0
05/03/21,3263,10,0
05/03/21,312,10,0
05/03/21,28,10,-15.1844
05/03/21,236,10,-158.238
05/03/21,31,10,-13.6524
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,364,10,0
05/03/21,949,10,-301.9718
05/03/21,6,10,0
05/03/21,236,10,-158.238
05/03/21,312,10,0
05/03/21,47,10,0
05/03/21,364,10,0
05/03/21,0,10,0
05/03/21,3263,10,0
05/03/21,0,10,0
05/03/21,29,10,-20.3087
05/03/21,5,10,1.806
05/03/21,3263,10,0
05/03/21,109,10,41.6162
05/03/21,47,10,0
05/03/21,3263,10,0
05/03/21,0,10,0
05/03/21,33,10,0
05/03/21,3263,10,0
05/03/21,0,10,0
05/03/21,23,10,0
05/03/21,0,10,0
05/03/21,3263,10,0
05/03/21,949,10,-301.9718
05/03/21,45,10,0
05/03/21,221,10,-65.416
05/03/21,1146,10,518.2212
05/03/21,2,10,0
05/03/21,3263,10,0
05/03/21,312,10,0
05/03/21,3263,10,0
05/03/21,7,10,0
05/03/21,18,10,0
05/03/21,103,10,0
05/03/21,2,10,0
05/03/21,221,10,-65.416
05/03/21,1,10,0
05/03/21,0,10,0
05/03/21,112,10,42.7616
05/03/21,159,10,-89.1354
05/03/21,150,10,139.305
05/03/21,28,10,-15.1844
05/03/21,0,10,0
05/03/21,29,10,-12.7716
05/03/21,103,10,0
05/03/21,0,10,0
05/03/21,181,10,67.2596
05/03/21,98,10,58.7412
05/03/21,0,10,0
05/03/21,150,10,139.305
05/03/21,0,10,0
05/03/21,2,10,-0.0516
05/03/21,0,10,0
05/03/21,47,10,0
05/03/21,4,10,0
05/03/21,312,10,0
05/03/21,0,10,0
05/03/21,236,10,-158.238
05/03/21,0,10,0
05/03/21,6,10,2.6424
05/03/21,0,10,0
05/03/21,103,10,0
05/03/21,4,10,1.2728
05/03/21,2,10,0
05/03/21,129,10,0
05/03/21,0,10,0
05/03/21,1,10,0.3182
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,157,10,27.9303
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,135,10,-101.331
05/03/21,129,10,0
05/03/21,129,10,0
05/03/21,0,10,0
05/03/21,580,10,305.486
05/03/21,236,10,-158.238
05/03/21,145,10,107.735
05/03/21,1146,10,518.2212
05/03/21,0,10,0
05/03/21,1,10,0.1779
05/03/21,364,10,0
05/03/21,135,10,-101.331
05/03/21,221,10,-65.416
05/03/21,10,10,2.263
05/03/21,50,10,19.09
05/03/21,1146,10,518.2212
05/03/21,145,10,107.735
05/03/21,580,10,305.486
05/03/21,364,10,0
05/03/21,364,10,0
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,0,10,0
05/03/21,53,10,-15.4972
05/03/21,3263,10,0
05/03/21,580,10,305.486
05/03/21,181,10,67.2596
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,1,10,-0.7013
05/03/21,0,10,0
05/03/21,1,10,0.2263
05/03/21,157,10,27.9303
05/03/21,580,10,305.486
05/03/21,145,10,107.735
05/03/21,3263,10,0
05/03/21,0,10,0
05/03/21,8,10,0.3096
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,1146,10,518.2212
05/03/21,17,10,-2.4582
05/03/21,37,10,9.25
05/03/21,13,10,0
05/03/21,0,10,0
05/03/21,1146,10,518.2212
05/03/21,135,10,-101.331
05/03/21,176,10,69.8368
05/03/21,949,10,-301.9718
05/03/21,1146,10,518.2212
05/03/21,1146,10,518.2212
05/03/21,1146,10,518.2212
