cve_ent_mun,poblacion,nombre
16046,15290,Juarez
16047,22358,Jungapeo
16048,5862,Lagunillas
16049,18769,Madero
5035,744247,Torreon
5036,23781,Viesca
7012,56971,Berriozabal
11038,12978,Tarandacuao
11039,36574,Tarimoro
11040,20238,Tierra Blanca
7061,100318,Ocozocoautla de Espinosa
7062,19969,Ostuacan
12009,5284,Atlamajalcingo del Monte
12010,28136,Atlixtac
12013,13164,Azoyu
7092,45447,Tecpatan
7093,47721,Tenejapa
7094,47217,Teopisca
7096,85507,Tila
7097,97839,Tonala
7098,7894,Totolapa
7099,85344,La Trinitaria
7100,37381,Tumbala
13047,5354,Pacula
8054,8290,Riva Palacio
8055,18394,Rosales
8056,2182,Rosario
13061,58776,Tepeapulco
14011,5921,Atengo
14051,19203,Juanacatlan
10037,9849,Topia
14120,1433360,Zapopan
14121,31317,Zapotiltic
14122,7479,Zapotitlan de Vadillo
14123,19347,Zapotlan del Rey
14124,72439,Zapotlanejo
13071,10933,Tlahuiltepa
13072,11165,Tlanalapa
15021,41717,Coatepec Harinas
15029,226911,Chicoloapan
15075,29145,San Martin de las Piramides
17024,55553,Tlaltizapan de Zapata
17025,36147,Tlaquiltenango
19002,2599,Agualeguas
19003,1506,Los Aldamas
19004,38297,Allende
19005,19976,Anahuac
19009,105145,Cadereyta Jimenez
19011,8324,Cerralvo
19012,50563,Cienega de Flores
19013,11962,China
19014,37859,Doctor Arroyo
19015,1845,Doctor Coss
19031,396864,Juarez
19032,5783,Lampazos de Naranjo
19033,88689,Linares
19034,6199,Marin
20028,21913,Heroica Ciudad de Ejutla de Crespo
19037,5882,Mina
19038,67657,Montemorelos
19039,1124835,Monterrey
19048,322051,Santa Catarina
19049,46955,Santiago
19050,1942,Vallecillo
19051,4567,Villaldama
20068,22936,Ocotlan de Morelos
20002,47616,Acatlan de Perez Figueroa
20031,7677,Tamazulapam del Espiritu Santo
20005,15831,Asuncion Ixtaltepec
20006,19655,Asuncion Nochixtlan
20008,804,Asuncion Tlacolulita
20009,7452,Ayotzintepec
20010,14895,El Barrio de la Soledad
20012,10829,Candelaria Loxicha
20015,4738,Coatecas Altas
20018,826,Concepcion Buenavista
20113,3072,San Baltazar Loxicha
20036,5479,Guevea de Humboldt
20039,81271,Heroica Ciudad de Huajuapan de Leon
20041,32459,Huautla de Jimenez
20042,8521,Ixtlan de Juarez
20043,103241,Heroica Ciudad de Juchitan de Zaragoza
20044,44584,Loma Bonita
20059,45679,Miahuatlan de Porfirio Diaz
20073,34568,Putla Villa de Guerrero
20093,505,San Andres Lagunas
20198,30815,San Juan Guichicovi
20085,25684,San Agustin Loxicha
20098,4590,San Andres Teotilalpam
20104,2788,San Antonino el Alto
20205,17579,San Juan Lalana
20207,19226,San Juan Mazatlan
20152,2357,San Francisco Tlapancingo
20161,2688,San Jeronimo Sosola
20175,1652,San Juan Bautista Atatlahuca
20141,8091,San Francisco del Mar
20177,10341,San Juan Bautista Cuicatlan
20147,387,San Francisco Nuxa̱o
20149,1773,San Francisco Sola
20155,1007,San Ildefonso Sola
20156,3537,San Ildefonso Villa Alta
20159,5501,San Jeronimo Coatlan
20164,2937,San Jorge Nuchita
20184,170588,San Juan Bautista Tuxtepec
20185,9264,San Juan Cacahuatepec
20186,598,San Juan Cieneguilla
20190,24519,San Juan Cotzocon
20211,2780,San Juan Ozolotepec
20212,3041,San Juan Petlapa
20213,4145,San Juan Quiahije
20214,2135,San Juan Quiotepec
20202,4968,San Juan Lachao
20217,3079,San Juan Tamazola
20515,68052,Santo Domingo Tehuantepec
20526,18273,Santos Reyes Nopala
20457,3279,Santiago Camotlan
20229,8520,San Lorenzo Texmelucan
20230,1010,San Lorenzo Victoria
20232,21069,San Lucas Ojitlan
20277,12703,Villa Sola de Vega
20278,40476,San Miguel Soyaltepec
20279,2833,San Miguel Suchixtepec
20261,7808,San Miguel Amatitlan
20272,6768,San Miguel Panixtlahuaca
20273,3463,San Miguel Peras
20275,8512,San Miguel Quetzaltepec
20290,1043,San Nicolas Hidalgo
20291,4369,San Pablo Coatlan
20549,11399,Villa Tezoatlan de Segura y Luna
20306,3781,San Pedro el Alto
20309,11804,San Pedro Ixcatlan
20334,47281,Villa de Tututepec de Melchor Ocampo
20318,51195,San Pedro Mixtepec Distrito 22
20324,49364,San Pedro Pochutla
20337,5406,San Pedro y San Pablo Ayutla
20340,1778,San Pedro y San Pablo Tequixtepec
20341,239,San Pedro Yucunama
26024,817,Divisaderos
26025,60631,Empalme
26026,66633,Etchojoa
20364,16319,Santa Catarina Juquila
20366,3973,Santa Catarina Loxicha
20401,25179,Santa Maria Colotepec
20371,1095,Santa Catarina Ticua
20377,11961,Santa Cruz Itundujia
20378,3654,Santa Cruz Mixtepec
20385,98970,Santa Cruz Xoxocotlan
20386,19026,Santa Cruz Zenzontepec
20389,945,Santa Ines Yatzeche
20394,2898,Santa Maria Alotepec
20397,42679,Heroica Ciudad de Tlaxiaco
20406,21031,Santa Maria Chilchotla
20407,9380,Santa Maria Chimalapa
20410,3508,Santa Maria Ecatepec
20413,46818,Santa Maria Huatulco
20417,9625,Santa Maria Jacatepec
20424,3970,Santa Maria Ozolotepec
20426,8781,Santa Maria Pe̱oles
20427,17112,Santa Maria Petapa
20435,3902,Santa Maria Tepantlali
20447,16538,Santa Maria Zacatepec
20450,13114,Santiago Amoltepec
20459,4627,Santiago Chazumba
20460,5338,Santiago Choapam
20466,13319,Santiago Ixtayutla
20467,19738,Santiago Jamiltepec
20470,4862,Santiago Lachiguiri
20477,1440,Santiago Minas
20479,211,Santiago Nejapilla
20481,1805,Santiago Nuyoo
20484,4623,Santiago Tamazola
20498,7104,Santiago Yaveo
20492,3014,Santiago Tilantongo
20495,3106,Santiago Xanica
20500,8672,Santiago Yosondua
20513,9495,Santo Domingo Petapa
20543,5999,Tataltepec de Valdes
21017,30052,Atempan
21018,4005,Atexcal
21019,143903,Atlixco
21071,111389,Huauchinango
21072,19663,Huehuetla
21022,12950,Atzitzihuacan
21023,9727,Atzitzintla
21024,981,Axutla
21025,9105,Ayotoxco de Guerrero
21026,15345,Calpan
21027,4148,Caltepec
21031,3119,Coatzingo
21032,1415,Cohetzala
21033,5174,Cohuecan
21035,21827,Coxcatlan
21036,14840,Coyomeapan
21037,2449,Coyotepec
21081,3798,Ixcamilpa de Guerrero
21082,9411,Ixcaquixtla
21083,25772,Ixtacamaxtitlan
21092,5578,Juan N. Mendez
21093,8243,Lafragua
21094,36010,Libres
21096,3005,Mazapiltepec de Juarez
21098,6574,Molcaxac
21126,6639,San Jeronimo Tecuanipan
21127,3675,San Jeronimo Xayacatlan
21128,9309,San Jose Chiapa
21129,14148,San Jose Miahuatlan
21130,3545,San Juan Atenco
21119,154192,San Andres Cholula
21120,5871,San Antonio Ca̱ada
21121,1267,San Diego la Mesa Tochimiltzingo
21122,11025,San Felipe Teotlalcingo
21123,4143,San Felipe Tepatlan
21145,14734,San Sebastian Tlacotepec
21146,853,Santa Catarina Tlaltempan
21147,6712,Santa Ines Ahuatempan
21148,9425,Santa Isabel Cholula
21149,27176,Santiago Miahuatlan
21150,7648,Huehuetlan el Grande
