distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MOVIMIENTO_CIUDADANO,RSP,MORENA,PES,FM,PAN_PRI_PRD,PAN_PRD,PAN_PRI,PRI_PRD,PT_MORENA_PVEM,PT_MORENA,PT_PVEM,PVEM_MORENA,CAND_IND_01,CAND_IND_02,CNR,VN,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,URBANA,RURAL,VPM,JHH
2106,6,21,31498,26091,2496,7301,5926,3605,2832,90546,3383,3383,593,229,246,50,2656,949,92,793,0,0,156,6710,186152,298993,475,5,0,1
2107,7,21,37266,27498,4492,8925,8516,7540,3837,81940,3263,3263,480,510,295,74,2658,1037,151,948,0,0,71,9071,198572,289617,248,212,0,1
2108,8,21,40498,39843,5342,7788,7593,15540,13309,51483,2185,2185,627,468,501,128,1461,847,101,430,0,0,31,11980,200155,270983,128,345,0,1
2109,9,21,54942,16011,2794,7761,5858,4215,2907,93194,3595,3595,866,288,223,41,2377,909,79,600,0,0,104,6819,203583,315823,550,0,0,1
2110,10,21,53707,19064,4616,10817,6731,5747,5730,94556,4805,4805,720,304,198,51,2613,846,127,730,0,0,151,9244,220757,328497,504,5,0,1
2111,11,21,35598,21115,2672,6881,6717,4926,3352,87843,3405,3405,627,206,229,59,2923,1175,147,724,0,0,108,7023,185730,307513,455,26,0,1
2112,12,21,51698,24644,3833,9036,5684,4327,3508,96927,4064,4064,780,277,156,47,2322,882,66,588,0,0,181,7736,216756,323123,599,0,0,1
2113,13,21,38968,38896,5531,10345,5843,7087,5178,77404,3398,3398,472,445,213,82,1882,712,75,629,0,0,68,10291,207519,308104,272,273,0,1
2114,14,21,32467,47309,6262,6356,7677,8285,4917,86758,2726,2726,344,700,185,205,1875,897,114,668,0,0,116,11608,219469,307143,109,453,0,1
2115,15,21,28791,29664,2528,12006,7939,2808,4483,95204,2572,2572,313,208,99,52,1918,920,129,592,0,0,48,8684,198958,295612,333,136,0,1
2201,1,22,49632,38459,4426,6433,6068,4571,6256,35472,3535,3535,639,634,218,50,707,421,97,241,0,0,94,10412,168365,252531,51,415,0,1
2202,2,22,46817,33458,2839,14500,4413,3287,4174,57670,4288,4288,552,252,167,22,1835,610,109,432,0,0,150,8454,184029,284047,256,229,0,1
2203,3,22,58562,41084,3391,8338,5577,4521,3520,69000,5910,5910,852,281,192,34,1858,619,62,470,0,0,197,8306,212774,363990,441,158,0,1
2204,4,22,82925,32625,3443,10607,4689,5007,4109,67609,5605,5605,1133,405,198,47,1615,592,50,388,0,0,297,9671,231015,361257,570,35,0,1
