distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CAND_IND_1,CAND_IND_2,CAND_IND_3,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM-PT-MORENA,PVEM-PT,PVEM-MORENA,PT-MORENA,JHH,VXM,TOTAL,GANADOR_2018,GANADOR_2021
901,1,9,0,0,0,0,0,31.19,0,2.44,0.82,2.64,0,3.12,0,24.33,0,0,0,35.44,0,0,0,0,1,117339,PT_MORENA_PES,PVEM_PT_MORENA
902,2,9,0,0,0,0,0,44.53,0,1.28,0.52,1.23,0,0,0,35.69,0,0,0,16.75,0,0,0,0,1,147844,PT_MORENA_PES,MC
903,3,9,0,0,0,0,0,31.81,0,3.76,0.84,2.91,0,0,0,26.87,0,0,0,33.82,0,0,0,0,1,131857,PT_MORENA_PES,PVEM_PT_MORENA
904,4,9,0,0,0,0,0,37.28,0,3.09,0.98,1.54,0,0,0,24.1,0,0,0,33,0,0,0,0,1,119388,PT_MORENA_PES,MC
905,5,9,0,0,0,0,0,35.59,0,2.12,1.01,1.94,0,0,0,32.24,0,0,0,27.1,0,0,0,0,1,117875,PT_MORENA_PES,MC
906,6,9,0,0,0,0,0,33.73,0,2.31,0.76,2.63,0,0,0,29.75,0,0,0,30.81,0,0,0,0,1,149869,PT_MORENA_PES,MC
907,7,9,0,0,0,0,0,27.82,0,3.55,4.41,2.72,0,0,0,33.64,0,0,0,27.86,0,0,0,0,1,143961,PT_MORENA_PES,PAN_PRI_PRD
908,8,9,0,0,0,0,0,25.25,0,4.02,1.61,1.97,0,0,0,30.33,0,0,0,36.83,0,0,0,0,1,119938,PT_MORENA_PES,PVEM_PT_MORENA
909,9,9,0,0,0,0,0,28.73,0,3.96,0.53,4.18,0,0,0,26.74,0,0,0,35.85,0,0,0,0,1,118227,PT_MORENA_PES,PVEM_PT_MORENA
910,10,9,0,0,0,0,0,27.52,0,1.58,0.41,1.71,0,0,0,41.62,0,0,0,27.16,0,0,0,0,1,109204,PT_MORENA_PES,PAN_PRI_PRD
911,11,9,0,0,0,0,0,31.62,0,1.95,0.92,4.36,0,0,0,27.15,0,0,0,34.01,0,0,0,0,1,148763,PT_MORENA_PES,PVEM_PT_MORENA
912,12,9,0,0,0,0,0,28.52,0,2.88,1,2.2,0,0,0,34.11,0,0,0,31.29,0,0,0,0,1,118858,PT_MORENA_PES,PAN_PRI_PRD
913,13,9,0,0,0,0,0,3.25,0,2.28,2.49,2.63,0,0,0,46.05,0,0,0,43.3,0,0,0,0,1,215066,PT_MORENA_PES,PAN_PRI_PRD
914,14,9,0,0,0,0,0,5.73,0,2.34,2.99,2.43,0,0,0,35.85,0,0,0,50.66,0,0,0,0,1,123952,PT_MORENA_PES,PVEM_PT_MORENA
915,15,9,0,0,0,0,0,8.03,0,3.98,1.43,4.12,0,0,0,43.23,0,0,0,39.21,0,0,0,0,1,195918,PT_MORENA_PES,PAN_PRI_PRD
916,16,9,17.01,28.62,1.52,0,0,4.07,0,2.34,2.98,2.39,0,0,0,0,0,0,0,41.07,0,0,0,0,0,157204,PT_MORENA_PES,PVEM_PT_MORENA
917,17,9,18.74,31.79,1.5,0,0,2.04,0,2.13,2.78,2.41,0,0,0,0,0,0,0,38.62,0,0,0,0,0,170973,PT_MORENA_PES,PVEM_PT_MORENA
918,18,9,0,0,0,0,0,4.75,0,2.22,4.17,2.83,0,0,0,40.37,0,0,0,45.66,0,0,0,0,1,146001,PT_MORENA_PES,PVEM_PT_MORENA
919,19,9,0,0,0,5.22,1.62,3.97,37.41,1.36,1.21,1.6,0,0,0,47.61,0,0,0,0,0,0,0,0,1,170008,PT_MORENA_PES,PAN_PRI_PRD
920,20,9,12.66,26.03,2.33,4.93,1.74,3.29,43.74,1.6,0.79,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,122246,PT_MORENA_PES,MORENA
921,21,9,0,0,0,6.85,1.61,9.37,24.31,1.98,0.94,0.72,0,0,0,54.22,0,0,0,0,0,0,0,0,1,155911,PT_MORENA_PES,PAN_PRI_PRD
922,22,9,8.58,26.13,6.99,2.58,1.36,2.6,47.13,1.48,0.94,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,118194,PT_MORENA_PES,MORENA
923,23,9,8.68,29.85,4.82,3.47,1.5,2.77,44.11,1.46,1.19,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,126481,PT_MORENA_PES,MORENA
924,24,9,5.14,35.19,1.51,0,0,3.32,0,1.36,0.81,4.58,0,0,0,0,0,0,0,48.09,0,0,0,0,0,129099,PT_MORENA_PES,PVEM_PT_MORENA
1201,1,12,0,0,0,0,0,3.47,0,1.71,1.55,2.19,0,0,0,33.77,0,0,0,57.31,0,0,0,0,1,127363,PT_MORENA_PES,PVEM_PT_MORENA
1202,2,12,0,0,0,5.73,2.28,5.18,45.25,2.04,1.69,2.06,0,0,0,35.76,0,0,0,0,0,0,0,0,1,127962,PT_MORENA_PES,MORENA
1203,3,12,0,0,0,0,0,2.79,0,2.05,1.4,2.27,0,0,0,52.13,0,0,0,39.36,0,0,0,0,1,181265,PT_MORENA_PES,PAN_PRI_PRD
1204,4,12,0,0,0,0,0,7.7,0,4.04,1.95,3.34,0,0,0,38.36,0,0,0,44.61,0,0,0,0,1,168109,PT_MORENA_PES,PVEM_PT_MORENA
1205,5,12,0,0,0,7.24,1.34,1.44,34.12,1.89,1.31,2.28,0,0,0,50.37,0,0,0,0,0,0,0,0,1,154569,PT_MORENA_PES,PAN_PRI_PRD
1206,6,12,13.05,18.77,1.73,6.91,1.63,8.66,39.33,3.54,3.34,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,157533,PT_MORENA_PES,MORENA
1207,7,12,8.88,23.85,3.15,13.13,1.16,2.31,41.45,2.36,1.25,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,155986,PT_MORENA_PES,MORENA
