distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CAND_IND_1,CAND_IND_2,CAND_IND_3,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM-PT-MORENA,PVEM-PT,PVEM-MORENA,PT-MORENA,JHH,VXM,TOTAL,GANADOR_2018,GANADOR_2021
1911,11,19,0,0,0,1.3,1.7,4.55,62.3,2.39,1.31,1.81,0,0,0,24.63,0,0,0,0,0,0,0,0,1,49454,PT-MORENA-PES,MORENA
1910,10,19,0,0,0,3.56,1.83,1.1,60.93,1.72,1.56,0.97,0,0,0,28.33,0,0,0,0,0,0,0,0,1,42939,PT-MORENA-PES,MORENA
1908,8,19,0,0,0,0,0,5.79,0,1.54,3.47,3.86,0,0,0,43.63,0,0,0,41.7,0,0,0,1,1,259,PT-MORENA-PES,PAN-PRI-PRD
1902,2,19,0,0,0,20.77,4.2,5.56,34.61,2.22,0.62,1.85,0,0,0,30.16,0,0,0,0,0,0,0,0,1,809,PT-MORENA-PES,MORENA
1912,12,19,0,0,0,2.53,2.13,1.98,66.99,1.44,1.52,2.21,0,0,0,21.2,0,0,0,0,0,0,0,0,1,56077,PT-MORENA-PES,MORENA
1909,9,19,0,0,0,12.68,1.01,2.55,62,4.66,1.92,0.91,0,0,0,14.26,0,0,0,0,0,0,0,0,1,27403,PT-MORENA-PES,MORENA
1907,7,19,0,0,0,1.59,1.86,9.81,50.88,2.39,2.3,3.27,0,0,0,27.92,0,0,0,0,0,0,0,0,1,1132,PRI-PVEM-NA,MORENA
1906,6,19,0,0,0,0,0,8.02,0,1.75,0.5,0.75,0,0,0,48.37,0,0,0,40.6,0,0,0,1,1,399,MORENA,PAN-PRI-PRD
1905,5,19,0,0,0,1.83,10.55,7.34,48.78,1.68,0.31,1.99,0,0,0,27.52,0,0,0,0,0,0,0,0,1,654,MORENA,MORENA
1904,4,19,0,0,0,0,0,5.8,0,0,0,0,0,0,0,18.84,0,0,0,75.36,0,0,0,1,1,69,PT-MORENA-PES,PVEM-PT-MORENA
1903,3,19,,,,,,,,,,,,,,,,,,,,,,1,1,0,PT-MORENA-PES,
