distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CI,PAN-PRI-PRD,PVEM-PT-MORENA,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,LISTA_NOMINAL_CASILLA,JHH,VXM,TOTAL,GANADOR_2018,GANADOR_2021,PARTICIPACION
1521,21,15,5.19,26.22,4.26,8.14,1.21,6.78,35.31,3.3,2.38,4.01,0,0,0,0.06,3.13,272352,0,0,163302,PAN_PRD_MC,MORENA,59.96
1522,22,15,39.2,18.1,1.28,1.98,1.94,3.94,25.97,1.57,1.22,1.47,0,0,0,0.08,3.26,358146,0,0,194732,PT_MORENA_PES,PAN,54.37
1523,23,15,8.56,32.39,2.47,8.53,2.94,1.57,32.97,3.26,1.57,2.68,0,0,0,0.06,3.01,312635,0,0,193378,PAN_PRD_MC,MORENA,61.85
1524,24,15,0,0,0,0,0,5.51,0,3.37,0.97,1.9,0,42.97,42.3,0.08,2.9,340407,1,1,155750,PAN_PRD_MC,PAN_PRI_PRD,45.75
1525,25,15,2.66,37.17,1.35,1.8,1.65,1.68,47.62,1.18,0.59,1.3,0,0,0,0.05,2.95,264210,0,0,120737,PAN_PRD_MC,MORENA,45.7
1527,27,15,0,0,0,0,0,6.07,0,2.41,2.08,3.12,0,50.39,33.73,0.08,2.12,334262,1,1,211606,PT_MORENA_PES,PAN_PRI_PRD,63.31
1528,28,15,18.73,18.26,6.35,7.16,1.63,2.11,33.23,1.18,1.2,6.94,0,0,0,0.13,3.08,347434,0,0,176811,PT_MORENA_PES,MORENA,50.89
1529,29,15,0,0,0,1.7,1.51,19.58,40.54,1.56,0.64,2.12,0,29.26,0,0.08,3,297267,0,1,158186,PT_MORENA_PES,MORENA,53.21
1530,30,15,3.16,39.5,2.21,0,0,1.48,0,2.07,0.77,2.74,0,0,45.31,0.06,2.7,285102,1,0,132346,PT_MORENA_PES,PVEM_PT_MORENA,46.42
1531,31,15,0,0,0,1.94,1.59,21.54,42.67,1.53,0.61,1.48,0,25.46,0,0.07,3.12,290544,0,1,147942,PRI_PVEM_NA,MORENA,50.92
1532,32,15,0,0,0,0,0,3.33,0,1.57,1.49,2.1,0,32.59,55.31,0.07,3.53,271794,1,1,135077,PT_MORENA_PES,PVEM_PT_MORENA,49.7
1533,33,15,0,0,0,5.57,2.18,4.92,43.8,1.83,1.66,1.98,0,34.54,0,0.07,3.45,283478,0,1,133895,PT_MORENA_PES,MORENA,47.23
1534,34,15,0,0,0,0,0,2.75,0,2.09,1.38,2.28,0,50.5,38.55,0.09,2.37,339824,1,1,192754,PT_MORENA_PES,PAN_PRI_PRD,56.72
1537,37,15,12.53,17.89,1.66,6.65,1.58,8.43,37.75,3.38,3.28,2.91,0,0,0,0.56,3.38,308152,0,0,169427,PT_MORENA_PES,MORENA,54.98
1538,38,15,8.67,22.79,3.12,12.8,1.12,2.25,40.27,2.29,1.22,2.48,0,0,0,0.08,2.91,307410,0,0,160599,PT_MORENA_PES,MORENA,52.24
1539,39,15,0,0,0,0,0,2.41,0,1.87,1.1,5.37,0,45.87,40.35,0.09,2.95,273868,1,1,131209,PT_MORENA_PES,PAN_PRI_PRD,47.91
1505,5,15,18.71,30.96,1.41,0,0,1.94,0,1.97,2.6,2.32,0,0,37.65,0.12,2.31,289197,1,0,181636,PAN_PRD_MC,PVEM_PT_MORENA,62.81
1518,18,15,36.75,22.82,3.46,2.23,1.39,2.9,23.73,1.35,0.6,2.2,0,0,0,0.03,2.53,325934,0,0,208419,PAN_PRD_MC,PAN,63.95
1526,26,15,0,0,0,0,0,2.59,0,2.97,1.29,2.03,0,45.56,42.86,0.07,2.62,332957,1,1,174997,PAN_PRD_MC,PAN_PRI_PRD,52.56
1540,40,15,0,0,0,12.33,3.18,3.7,29.39,3.37,1.22,2.25,0,40.98,0,0.09,3.51,331766,0,1,184040,PT_MORENA_PES,PAN_PRI_PRD,55.47
1541,41,15,0,0,0,0,0,2.47,0,1.22,0.59,1.52,0,47.58,44.38,0.1,2.14,346331,1,1,197318,PT_MORENA_PES,PAN_PRI_PRD,56.97
1535,35,15,0,0,0,0,0,7.47,0,3.93,1.91,3.24,0,37.26,43.05,0.05,3.09,300912,1,1,177526,PRI_PVEM_NA,PVEM_PT_MORENA,59
1536,36,15,0,0,0,6.69,1.6,2.01,33.15,2.09,1.41,2.14,0,47.63,0,0.02,3.25,310693,0,1,204228,PT_MORENA_PES,PAN_PRI_PRD,65.73
1612,12,16,0,0,0,0,0,2.8,0,2.4,2.21,4.95,0,35.72,47.28,0.44,4.2,260155,1,1,119218,PT_MORENA_PES,PVEM_PT_MORENA,45.83
1609,9,16,0,0,0,2.84,3.05,1.79,41.64,0.87,0.51,1.07,8.32,35.95,0,0.03,3.92,251616,0,1,111606,PT_MORENA_PES,MORENA,44.36
1605,5,16,0,0,0,4.17,5.16,7.68,26.61,2.89,0.76,2.16,0,46.93,0,0.06,3.58,309510,0,1,133500,PT_MORENA_PES,PAN_PRI_PRD,43.13
1604,4,16,0,0,0,6.74,3.79,7.01,27.4,2.71,1.42,3.45,0,43.67,0,0.03,3.79,307056,0,1,154215,PAN_PRD_MC,PAN_PRI_PRD,50.22
1701,1,17,28.09,10.02,3.11,3.6,3.03,3.24,30.28,2.67,1.49,10.09,0,0,0,0.2,4.2,312202,0,0,156608,PAN_PRD_MC,MORENA,50.16
1702,2,17,13.36,9.63,7.02,0,0,6.87,0,2.62,7.7,6.45,0,0,41.57,0.1,4.68,298877,1,0,144010,PT_MORENA_PES,PVEM_PT_MORENA,48.18
1703,3,17,11.05,8.75,2.46,3.65,5.84,8.63,35.43,10.79,4.29,4.16,0,0,0,0.11,4.85,298693,0,0,155444,PAN_PRD_MC,MORENA,52.04
1704,4,17,5.08,6.72,1.88,0,0,7.14,0,1.98,19.48,15.49,0,0,37.67,0.06,4.5,301325,1,0,165507,PT_MORENA_PES,PVEM_PT_MORENA,54.93
1705,5,17,11.93,10.4,1.66,5.23,6.39,7.66,31.02,6.75,5.49,7.5,0,0,0,0.07,5.89,284986,0,0,174434,PT_MORENA_PES,MORENA,61.21
2302,2,23,0,0,0,0,0,5.02,0,2.06,3.41,5.05,0,28.17,52.49,0.22,3.58,290122,1,1,158621,PT_MORENA_PES,PVEM_PT_MORENA,54.67
2303,3,23,0,0,0,0,0,2.84,0,7.56,1.38,11.12,0,17.13,55.13,0.15,4.69,272767,1,1,104287,PT_MORENA_PES,PVEM_PT_MORENA,38.23
2301,1,23,0,0,0,0,0,3.63,0,2.51,1.49,6.31,0,34.43,47.43,0.16,4.03,381428,1,1,171965,PT_MORENA_PES,PVEM_PT_MORENA,45.08
2304,4,23,0,0,0,0,0,3.37,0,3.84,1.2,10.33,0,33.67,43.65,0.17,3.76,378254,1,1,152940,PT_MORENA_PES,PVEM_PT_MORENA,40.43
3101,1,31,38.11,28.66,0.99,1.54,1.12,1.51,23.36,0.93,0.51,1.05,0,0,0,0.03,2.2,300533,0,0,229899,PT_MORENA_PES,PAN,76.5
3102,2,31,25.85,22.04,3.59,0,0,4.75,0,2.98,0.62,1.76,0,0,35.49,0.02,2.91,318248,1,0,223610,PT_MORENA_PES,PVEM_PT_MORENA,70.26
3103,3,31,32.25,26.64,0.78,1.06,0.86,1.85,31.13,0.9,0.4,1.19,0,0,0,0.05,2.9,368668,0,0,172350,PT_MORENA_PES,PAN,46.75
3104,4,31,48.44,16.96,0.67,1,0.64,2.43,24.9,0.91,0.34,1.28,0,0,0,0.05,2.38,360059,0,0,198480,PRI,PAN,55.12
3105,5,31,29.07,22.93,4.69,0,0,4.13,0,1.25,0.59,1.87,0,0,32.65,0.02,2.79,312556,1,0,235141,PT_MORENA_PES,PVEM_PT_MORENA,75.23
2901,1,29,0,0,0,0,0,2.64,0,2.29,4.53,3.36,14.72,31.35,36.02,0.06,5.03,318970,1,1,210088,PT_MORENA_PES,PVEM_PT_MORENA,65.86
2902,2,29,0,0,0,0,0,5.4,0,2.49,4.35,5.51,0,26.15,51.08,0.06,4.95,328630,1,1,218618,PT_MORENA_PES,PVEM_PT_MORENA,66.52
2903,3,29,0,0,0,2.67,6.73,3.13,39.79,2.69,5.43,3.93,0,30.06,0,0.04,5.53,325798,0,1,218460,PT_MORENA_PES,MORENA,67.05
2401,1,24,0,0,0,0,0,8.65,0,3.16,1.38,1.46,0,34.36,45,0.07,5.92,273579,1,1,164472,PRI_PVEM_NA,PVEM_PT_MORENA,60.12
2402,2,24,0,0,0,34.64,1.86,4.46,15.1,1.3,1.96,0.97,0,33.35,0,0.07,6.27,343231,0,1,196704,PT_MORENA_PES,PVEM,57.31
