"ESTADO","SEMANA2","FECHA_DOMINGO","CONFIRMADOS","DECESOS"
"02","'43-2020","2020-10-18",806,101
"02","'44-2020","2020-10-25",729,118
"02","'45-2020","2020-11-01",729,138
"02","'46-2020","2020-11-08",919,172
"02","'47-2020","2020-11-15",1722,252
"02","'48-2020","2020-11-22",1779,290
"02","'49-2020","2020-11-29",1997,351
"02","'50-2020","2020-12-06",2083,435
"02","'51-2020","2020-12-13",1767,382
"02","'52-2020","2020-12-20",2283,532
"03","'01-2021","2021-01-03",2059,102
"03","'02-2021","2021-01-10",1290,68
"03","'03-2021","2021-01-17",1340,61
"03","'04-2021","2021-01-24",999,48
"03","'05-2021","2021-01-31",958,39
"03","'06-2021","2021-02-07",564,31
"03","'07-2021","2021-02-14",597,15
"03","'08-2021","2021-02-21",433,17
"03","'09-2021","2021-02-28",392,16
"03","'10-2021","2021-03-07",359,14
"03","'11-2020","2020-03-08",1,0
"03","'11-2021","2021-03-14",540,16
"03","'12-2020","2020-03-15",15,1
"03","'12-2021","2021-03-21",470,13
"03","'13-2020","2020-03-22",41,5
"03","'13-2021","2021-03-28",407,13
"03","'14-2020","2020-03-29",122,7
"03","'14-2021","2021-04-04",539,13
"03","'15-2020","2020-04-05",69,8
"03","'15-2021","2021-04-11",430,16
"03","'16-2020","2020-04-12",51,6
"03","'16-2021","2021-04-18",416,12
"03","'17-2020","2020-04-19",55,4
"03","'17-2021","2021-04-25",377,15
"03","'18-2020","2020-04-26",50,3
"03","'18-2021","2021-05-02",335,16
"03","'19-2020","2020-05-03",63,7
"03","'19-2021","2021-05-09",379,18
"03","'20-2020","2020-05-10",82,3
"03","'20-2021","2021-05-16",631,28
"03","'21-2020","2020-05-17",100,9
"03","'21-2021","2021-05-23",753,20
"03","'22-2020","2020-05-24",113,8
"03","'22-2021","2021-05-30",1230,40
"03","'23-2020","2020-05-31",220,10
"03","'23-2021","2021-06-06",1986,63
"03","'24-2020","2020-06-07",232,10
"03","'24-2021","2021-06-13",2594,98
"03","'25-2020","2020-06-14",265,14
"03","'25-2021","2021-06-20",2504,74
"03","'26-2020","2020-06-21",337,29
"03","'26-2021","2021-06-27",2315,110
"03","'27-2020","2020-06-28",535,31
"03","'27-2021","2021-07-04",2156,61
"03","'28-2020","2020-07-05",729,39
"03","'28-2021","2021-07-11",1863,58
"03","'29-2020","2020-07-12",681,48
"03","'29-2021","2021-07-18",1702,28
"03","'30-2020","2020-07-19",795,68
"03","'30-2021","2021-07-25",1328,10
"03","'31-2020","2020-07-26",797,57
"03","'31-2021","2021-08-01",363,0
"03","'32-2020","2020-08-02",721,53
"03","'33-2020","2020-08-09",718,45
"03","'34-2020","2020-08-16",616,45
"03","'35-2020","2020-08-23",662,29
"03","'36-2020","2020-08-30",688,36
"03","'37-2020","2020-09-06",557,21
"03","'38-2020","2020-09-13",554,18
